map
	ez_athletic
end

values
	0.00470460,-15.09600000,-4.53680000,43.75572000,36.22533000,293.62730000,0,0,0,1,
	0.01057600,-15.09600000,-4.53680000,43.75572000,36.15033000,293.17740000,0,0,0,1,
	0.01412020,-15.09600000,-4.53680000,43.75572000,36.07533000,292.72740000,0,0,0,1,
	0.01994130,-15.09600000,-4.53680000,43.75572000,36.07532000,292.50240000,0,0,0,1,
	0.02430090,-15.25458000,-4.43260000,43.80532000,36.00032000,292.20240000,0,0,0,1,
	0.02917360,-15.25458000,-4.43260000,43.80532000,35.92532000,292.05240000,0,0,0,1,
	0.03477920,-15.25458000,-4.43260000,43.80532000,35.92532000,291.90230000,0,0,0,1,
	0.03832530,-15.25458000,-4.43260000,43.80532000,35.85032000,291.90230000,0,0,0,1,
	0.04166450,-15.25458000,-4.43260000,43.80532000,35.85032000,291.90230000,0,0,0,1,
	0.04758480,-15.41348000,-4.33480100,43.85411000,35.85032000,291.90230000,0,0,0,0,
	0.05549750,-15.41348000,-4.33480100,43.85411000,35.77531000,291.90230000,0,0,0,0,
	0.06652920,-15.57238000,-4.24340100,43.90291000,35.70032000,291.90230000,0,0,1,0,
	0.07382150,-15.57238000,-4.24340100,43.90291000,35.47532000,292.27730000,0,0,1,0,
	0.07841730,-15.57238000,-4.24340100,43.90291000,35.32532000,292.57730000,0,0,1,0,
	0.08347060,-15.71963000,-4.15840100,43.98000000,35.17532000,292.80230000,0,0,1,0,
	0.08851540,-15.71963000,-4.15840100,43.98000000,35.10032000,293.10230000,0,0,1,0,
	0.09286350,-15.71963000,-4.15840100,43.98000000,35.02532000,293.55230000,0,0,1,0,
	0.09763120,-15.71963000,-4.15840100,43.98000000,34.95032000,293.85230000,0,0,1,0,
	0.10369690,-15.86514000,-4.07980100,44.06107000,34.87532000,294.30230000,0,0,1,0,
	0.10959070,-15.86514000,-4.07980100,44.06107000,34.72531000,294.97730000,0,0,1,0,
	0.11671510,-15.86514000,-4.07980100,44.06107000,34.72531000,295.57720000,0,0,1,0,
	0.12168760,-15.86514000,-4.07980100,44.06107000,34.65031000,296.40230000,0,0,1,0,
	0.12876440,-16.00700000,-4.00760100,44.14957000,34.57531000,297.15230000,0,0,1,0,
	0.13597730,-16.00700000,-4.00760100,44.14957000,34.50032000,298.12730000,0,0,1,0,
	0.14079280,-16.00700000,-4.00760100,44.14957000,34.50031000,299.40230000,0,0,1,0,
	0.15239550,-16.14461000,-3.94180100,44.24569000,34.50032000,300.15230000,0,0,1,0,
	0.15775980,-16.14461000,-3.94180100,44.24569000,34.42531000,302.40230000,0,0,1,0,
	0.16499340,-16.27700000,-3.88240100,44.34994000,34.42531000,303.45230000,0,0,1,0,
	0.18014480,-16.27700000,-3.88240100,44.34994000,34.42531000,304.87730000,0,0,1,0,
	0.19103760,-16.40070000,-3.82940100,44.46558000,34.35032000,308.32730000,0,0,1,0,
	0.19603140,-16.40070000,-3.82940100,44.46558000,34.27531000,310.65230000,0,0,1,0,
	0.20188550,-16.40070000,-3.82940100,44.46558000,34.27531000,311.85230000,0,0,1,0,
	0.20810740,-16.51468000,-3.78280100,44.59213000,34.27531000,313.27730000,0,0,1,0,
	0.21300280,-16.51468000,-3.78280100,44.59213000,34.20031000,314.62720000,0,0,1,0,
	0.21719640,-16.51468000,-3.78280100,44.59213000,34.20031000,315.90230000,0,0,1,0,
	0.22251770,-16.51468000,-3.78280100,44.59213000,34.20031000,316.80230000,0,0,1,0,
	0.22912960,-16.61852000,-3.74260100,44.72839000,34.20031000,318.00230000,0,0,1,0,
	0.23644530,-16.61852000,-3.74260100,44.72839000,34.20031000,319.57730000,0,0,1,0,
	0.24417150,-16.71440000,-3.70880100,44.87119000,34.20031000,321.45230000,0,0,1,0,
	0.25054340,-16.71440000,-3.70880100,44.87119000,34.20031000,323.32730000,0,0,1,0,
	0.25588250,-16.71440000,-3.70880100,44.87119000,34.20031000,324.90230000,0,0,1,0,
	0.26095920,-16.71440000,-3.70880100,44.87119000,34.20031000,326.47740000,0,0,1,0,
	0.26510270,-16.79491000,-3.68140100,45.02461000,34.20031000,327.67740000,0,0,1,0,
	0.27132760,-16.79491000,-3.68140100,45.02461000,34.20031000,328.65230000,0,0,1,0,
	0.27896560,-16.79491000,-3.68140100,45.02461000,34.20030000,330.07730000,0,0,1,0,
	0.28536160,-16.86396000,-3.66040100,45.18447000,34.12531000,332.02730000,0,0,1,0,
	0.29188590,-16.86396000,-3.66040100,45.18447000,34.12531000,333.22740000,0,0,1,0,
	0.29749720,-16.86396000,-3.66040100,45.18447000,34.12531000,334.80240000,0,0,1,0,
	0.30460210,-16.92252000,-3.64580100,45.34932000,34.12531000,335.85240000,0,0,1,0,
	0.31035090,-16.92252000,-3.64580100,45.34932000,34.12531000,337.27730000,0,0,1,0,
	0.32173150,-16.92252000,-3.64580100,45.34932000,34.12531000,338.32730000,0,0,1,1,
	0.33131210,-16.97410000,-3.63760100,45.51702000,34.12531000,340.12730000,0,0,1,1,
	0.34039400,-16.97410000,-3.63760100,45.51702000,34.12531000,341.47730000,0,0,0,1,
	0.34712330,-17.03992000,-3.63580100,45.68027000,34.12531000,342.60230000,0,0,0,1,
	0.35313920,-17.03992000,-3.63580100,45.68027000,34.12531000,343.20230000,0,0,0,1,
	0.35826100,-17.03992000,-3.63580100,45.68027000,34.12531000,343.65230000,0,0,0,1,
	0.36467360,-17.10574000,-3.64040100,45.84351000,34.20030000,343.87730000,0,0,0,1,
	0.37000200,-17.10574000,-3.64040100,45.84351000,34.20031000,344.10220000,0,0,0,1,
	0.37370790,-17.10574000,-3.64040100,45.84351000,34.20031000,344.25220000,0,0,0,1,
	0.37815950,-17.10574000,-3.64040100,45.84351000,34.20031000,344.25220000,0,0,0,1,
	0.38180530,-17.10574000,-3.64040100,45.84351000,34.20031000,344.25220000,0,0,0,1,
	0.38516860,-17.17156000,-3.65140100,46.00675000,34.20031000,344.25220000,0,0,0,1,
	0.39022440,-17.17156000,-3.65140100,46.00675000,34.20031000,344.25220000,0,0,0,1,
	0.39378740,-17.17156000,-3.65140100,46.00675000,34.27531000,344.25220000,0,0,0,1,
	0.40075260,-17.17156000,-3.65140100,46.00675000,34.27531000,344.25220000,0,0,0,1,
	0.40574900,-17.23738000,-3.66880100,46.16999000,34.35031000,344.02730000,0,0,0,1,
	0.41230760,-17.23738000,-3.66880100,46.16999000,34.35031000,343.87730000,0,0,0,1,
	0.41717420,-17.23738000,-3.66880100,46.16999000,34.42531000,343.57720000,0,0,0,1,
	0.42312410,-17.30320000,-3.69260100,46.33324000,34.50031000,343.35230000,0,0,0,1,
