map
	ez_athletic
end

values
	0.00710850,-21.51746000,18.90000000,57.93423000,23.85012000,179.85030000,1,0,0,0,
	0.01383230,-21.51746000,18.90000000,57.93423000,23.85012000,179.85030000,1,0,0,0,
	0.01879470,-21.51746000,18.90000000,57.93423000,23.85012000,179.85030000,1,0,0,0,
	0.02261910,-21.51746000,18.90000000,57.93423000,23.85012000,179.85030000,1,0,0,0,
	0.02763240,-21.51724000,18.90000000,57.84805000,23.85012000,179.85030000,1,0,0,0,
	0.03250690,-21.51724000,18.90000000,57.84805000,23.85012000,179.85030000,1,0,0,0,
	0.03639190,-21.51724000,18.90000000,57.84805000,23.85012000,179.85030000,1,0,0,0,
	0.04108010,-21.51724000,18.90000000,57.84805000,23.85012000,179.85030000,1,0,0,0,
	0.04502670,-21.51699000,18.90000000,57.75449000,23.85012000,179.85030000,1,0,0,0,
	0.04930970,-21.51699000,18.90000000,57.75449000,23.85012000,179.85030000,1,0,0,0,
	0.05388340,-21.51699000,18.90000000,57.75449000,23.85012000,179.85030000,1,0,0,0,
	0.05796060,-21.51699000,18.90000000,57.75449000,23.85012000,179.85030000,1,0,0,0,
	0.06247530,-21.51699000,18.90000000,57.75449000,23.85012000,179.85030000,1,0,0,0,
	0.06652680,-21.51673000,18.90000000,57.65236000,23.85012000,179.85030000,1,0,0,0,
	0.07111870,-21.51673000,18.90000000,57.65236000,23.85012000,179.85030000,1,0,0,0,
	0.07609460,-21.51673000,18.90000000,57.65236000,23.85012000,179.85030000,1,0,0,0,
	0.08011190,-21.51673000,18.90000000,57.65236000,23.85012000,179.85030000,1,0,0,0,
	0.08417610,-21.51644000,18.90000000,57.54318000,23.85012000,179.85030000,1,0,0,0,
	0.08934100,-21.51644000,18.90000000,57.54318000,23.85012000,179.85030000,1,0,0,0,
	0.09300060,-21.51644000,18.90000000,57.54318000,23.85012000,179.85030000,1,0,0,0,
	0.09857180,-21.51644000,18.90000000,57.54318000,23.85012000,179.85030000,1,0,0,0,
	0.10905690,-21.51613000,18.90000000,57.42662000,23.85012000,179.85030000,1,0,0,0,
	0.11821260,-21.51613000,18.90000000,57.42662000,23.85012000,179.85030000,1,0,0,0,
	0.12263840,-21.51613000,18.90000000,57.42662000,23.85012000,179.85030000,1,0,0,0,
	0.12634260,-21.51580000,18.90000000,57.30043000,23.85012000,179.85030000,1,0,0,0,
	0.13297700,-21.51580000,18.90000000,57.30043000,23.85012000,179.85030000,1,0,0,0,
	0.13775580,-21.51580000,18.90000000,57.30043000,23.85012000,179.85030000,1,0,0,0,
	0.14112170,-21.51580000,18.90000000,57.30043000,23.85012000,179.85030000,1,0,0,0,
	0.14652400,-21.51546000,18.90000000,57.16685000,23.85012000,179.85030000,1,0,0,0,
	0.15181840,-21.51546000,18.90000000,57.16685000,23.85012000,179.85030000,1,0,0,0,
	0.15563630,-21.51546000,18.90000000,57.16685000,23.85012000,179.85030000,1,0,0,0,
	0.16031780,-21.51546000,18.90000000,57.16685000,23.85012000,179.85030000,1,0,0,0,
	0.16543320,-21.51509000,18.90000000,57.02559000,23.85012000,179.85030000,1,0,0,0,
	0.17083370,-21.51509000,18.90000000,57.02559000,23.85012000,179.85030000,1,0,0,0,
	0.17540930,-21.51509000,18.90000000,57.02559000,23.85012000,179.85030000,1,0,0,0,
	0.18094520,-21.51509000,18.90000000,57.02559000,23.85012000,179.85030000,1,0,0,0,
	0.18561100,-21.51469000,18.90000000,56.87607000,23.85012000,179.85030000,1,0,0,0,
	0.18936660,-21.51469000,18.90000000,56.87607000,23.85012000,179.85030000,1,0,0,0,
	0.19425380,-21.51469000,18.90000000,56.87607000,23.85012000,179.85030000,1,0,0,0,
	0.19925050,-21.51469000,18.90000000,56.87607000,23.85012000,179.85030000,1,0,0,0,
	0.20338770,-21.51469000,18.90000000,56.87607000,23.85012000,179.85030000,1,0,0,0,
	0.20870760,-21.51429000,18.90000000,56.72207000,23.85012000,179.85030000,1,0,0,0,
	0.21445500,-21.51429000,18.90000000,56.72207000,23.85012000,179.85030000,1,0,0,0,
	0.21791770,-21.51429000,18.90000000,56.72207000,23.85012000,179.85030000,1,0,0,0,
	0.22230130,-21.51429000,18.90000000,56.72207000,23.85012000,179.85030000,1,0,0,0,
	0.22622880,-21.51389000,18.90000000,56.56807000,23.85012000,179.85030000,1,0,0,0,
	0.23044500,-21.51389000,18.90000000,56.56807000,23.85012000,179.85030000,1,0,0,0,
	0.23494630,-21.51389000,18.90000000,56.56807000,23.85012000,179.85030000,1,0,0,0,
	0.23802470,-21.51389000,18.90000000,56.56807000,23.85012000,179.85030000,1,0,0,0,
	0.24232230,-21.51389000,18.90000000,56.56807000,23.85012000,179.85030000,1,0,0,0,
	0.24529290,-21.51349000,18.90000000,56.41407000,23.85012000,179.85030000,1,0,0,0,
	0.25011720,-21.51349000,18.90000000,56.41407000,23.85012000,179.85030000,1,0,0,0,
	0.25394380,-21.51349000,18.90000000,56.41407000,23.85012000,179.85030000,1,0,0,0,
	0.25812090,-21.51349000,18.90000000,56.41407000,23.85012000,179.85030000,1,0,0,0,
	0.26242540,-21.51349000,18.90000000,56.41407000,23.85012000,179.85030000,1,0,0,0,
	0.26556920,-21.51308000,18.90000000,56.26007000,23.85012000,179.85030000,1,0,0,0,
	0.27050220,-21.51308000,18.90000000,56.26007000,23.85012000,179.85030000,1,0,0,0,
	0.27487270,-21.51308000,18.90000000,56.26007000,23.85012000,179.85030000,1,0,0,0,
	0.27850530,-21.51308000,18.90000000,56.26007000,23.85012000,179.85030000,1,0,0,0,
	0.28259720,-21.51308000,18.90000000,56.26007000,23.85012000,179.85030000,1,0,0,0,
	0.28661840,-21.51268000,18.90000000,56.10608000,23.85012000,179.85030000,1,0,0,0,
	0.29176080,-21.51268000,18.90000000,56.10608000,23.85012000,179.85030000,1,0,0,0,
	0.29606850,-21.51268000,18.90000000,56.10608000,23.85012000,179.85030000,1,0,0,0,
	0.30008670,-21.51268000,18.90000000,56.10608000,23.85012000,179.85030000,1,0,0,0,
	0.30582930,-21.51228000,18.90000000,55.95208000,23.85012000,179.85030000,1,0,0,0,
	0.31030430,-21.51228000,18.90000000,55.95208000,23.85012000,179.85030000,1,0,0,0,
	0.31374950,-21.51228000,18.90000000,55.95208000,23.85012000,179.85030000,1,0,0,0,
	0.31828740,-21.51228000,18.90000000,55.95208000,23.85012000,179.85030000,1,0,0,0,
	0.32272850,-21.51228000,18.90000000,55.95208000,23.85012000,179.85030000,1,0,0,0,
	0.32692310,-21.51188000,18.90000000,55.79808000,23.85012000,179.85030000,1,0,0,0,
	0.33151850,-21.51188000,18.90000000,55.79808000,23.85012000,179.85030000,1,0,0,0,
