map
	ez_flyer
end

values
	0.00996990,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.01994780,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.02593080,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.03183990,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.03722740,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.04237990,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.05035560,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.05662270,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.06422480,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.07186710,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.07811390,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.08599650,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.09119570,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.09646291,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.10175560,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.10851500,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.11398010,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.11930270,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.12464000,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.12826010,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.13247600,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.13578580,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.14011080,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.14386180,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.14836770,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.15261840,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.15615520,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.16045320,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.17036660,0.00000000,0.89999990,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.17987850,0.00000000,0.90000000,-85.00000000,7.00000000,0.60000010,0,0,0,0,
	0.18661390,0.00000000,0.90000000,-85.00000000,7.00000200,0.55000010,0,0,0,0,
	0.19097180,0.00000000,0.90000000,-85.00000000,7.05000100,0.50000010,0,0,0,0,
	0.19668910,0.00000000,0.90000000,-85.00000000,7.10000100,0.45000000,0,0,0,0,
	0.20132890,0.00000000,0.89999990,-85.00000000,7.10000100,0.40000000,0,0,0,0,
	0.21018740,0.00000000,0.89999990,-85.00000000,7.15000100,0.35000000,1,0,0,0,
	0.21717660,0.00000000,0.89999990,-85.00000000,7.25000100,0.25000010,1,0,0,0,
	0.22186670,0.00004130,0.90000000,-84.98746000,7.35000200,0.15000000,1,0,0,0,
	0.22702120,0.00004130,0.90000000,-84.98746000,7.40000200,0.10000000,1,0,0,0,
	0.23247830,0.00004130,0.90000000,-84.98746000,7.45000300,0.05000004,1,0,0,0,
	0.23747660,0.00004130,0.90000000,-84.98746000,7.50000100,359.95000000,1,0,0,0,
	0.24243920,0.00004901,0.89999990,-84.96680000,7.60000300,359.90000000,1,0,0,0,
	0.24749490,0.00004901,0.89999990,-84.96680000,7.65000200,359.80000000,1,0,0,0,
	0.25293110,0.00004901,0.89999990,-84.96680000,7.70000300,359.75000000,1,0,0,0,
	0.25964350,-0.00001706,0.90000000,-84.93996000,7.75000300,359.65000000,1,0,0,0,
	0.26604090,-0.00001706,0.90000000,-84.93996000,7.85000100,359.55000000,1,0,0,0,
	0.27059120,-0.00001706,0.90000000,-84.93996000,7.95000100,359.45000000,1,0,0,0,
	0.27537520,-0.00001706,0.90000000,-84.93996000,8.00000200,359.40000000,1,0,0,0,
	0.28083820,-0.00025630,0.89999990,-84.90414000,8.10000100,359.35000000,1,0,0,0,
	0.28654240,-0.00025630,0.89999990,-84.90414000,8.15000200,359.25000000,1,0,0,0,
	0.29267640,-0.00025630,0.89999990,-84.90414000,8.20000400,359.15000000,1,0,0,0,
	0.29667840,-0.00025630,0.89999990,-84.90414000,8.35000200,359.05000000,1,0,0,0,
	0.30195400,-0.00073381,0.90000000,-84.85980000,8.40000400,359.00000000,1,0,0,0,
	0.30814460,-0.00073381,0.90000000,-84.85980000,8.50000400,358.90000000,1,0,0,0,
	0.31281190,-0.00073381,0.90000000,-84.85980000,8.60000300,358.80000000,1,0,0,0,
	0.31740220,-0.00073381,0.90000000,-84.85980000,8.70000500,358.70000000,1,0,0,0,
	0.32270920,-0.00152183,0.89999990,-84.80718000,8.80000500,358.65000000,1,0,0,0,
	0.32835880,-0.00152183,0.89999990,-84.80718000,8.90000300,358.55000000,1,0,0,0,
	0.33536560,-0.00152183,0.89999990,-84.80718000,9.05000500,358.45000000,1,0,0,0,
	0.34122720,-0.00264369,0.90000000,-84.74738000,9.20000500,358.35000000,1,0,0,0,
	0.34631060,-0.00264369,0.90000000,-84.74738000,9.35000400,358.25000000,1,0,0,0,
	0.35130990,-0.00264369,0.90000000,-84.74738000,9.50000400,358.15000000,1,0,0,0,
	0.35644110,-0.00264369,0.90000000,-84.74738000,9.65000200,358.05000000,1,0,0,0,
	0.36086540,-0.00422588,0.89999990,-84.67916000,9.80000300,358.00000000,1,0,0,0,
	0.36596580,-0.00422588,0.89999990,-84.67916000,9.95000300,357.90000000,1,0,0,0,
	0.37114800,-0.00422588,0.89999990,-84.67916000,10.15000000,357.80000000,1,0,0,0,
	0.37656440,-0.00422588,0.89999990,-84.67916000,10.30000000,357.65000000,1,0,0,0,
	0.38178770,-0.00633529,0.90000000,-84.60291000,10.45000000,357.60000000,1,0,0,0,
	0.38715360,-0.00633529,0.90000000,-84.60291000,10.65000000,357.45000000,1,0,0,0,
	0.39323280,-0.00633529,0.90000000,-84.60291000,10.85000000,357.35000000,1,0,0,0,
	0.39834750,-0.00896197,0.89999990,-84.52000000,11.10000000,357.20000000,1,0,0,0,
