map
	ez_horizon
end

values
	0.00820360,0.00486287,0.90000000,0.18111690,4.57500000,1.87500000,1,0,0,0,
	0.01872410,0.00667901,0.89999990,0.23809290,4.95000000,1.80000000,1,0,0,0,
	0.02621250,0.00667901,0.89999990,0.23809290,5.32500000,1.65000000,1,0,0,0,
	0.03336500,0.00667901,0.89999990,0.23809290,5.55000000,1.57500000,1,0,0,0,
	0.04116300,0.00869767,0.90000000,0.30513180,5.77500000,1.42500000,1,0,0,0,
	0.04917680,0.00869767,0.90000000,0.30513180,6.00000000,1.35000000,1,0,0,0,
	0.05548130,0.01077438,0.89999990,0.37849600,6.30000000,1.20000000,1,0,0,0,
	0.06325870,0.01077438,0.89999990,0.37849600,6.52500000,1.05000000,1,0,0,0,
	0.07018710,0.01077438,0.89999990,0.37849600,6.75000000,0.97500020,1,0,0,0,
	0.07646560,0.01284212,0.90000000,0.46026640,6.97500000,0.90000040,1,0,0,0,
	0.08362490,0.01284212,0.90000000,0.46026640,7.20000000,0.82500020,1,0,0,0,
	0.09100810,0.01284212,0.90000000,0.46026640,7.50000000,0.67500010,1,0,0,0,
	0.09611030,0.01483366,0.89999990,0.55036780,7.72499900,0.60000020,1,0,0,0,
	0.10373590,0.01483366,0.89999990,0.55036780,7.87500100,0.52500030,1,0,0,0,
	0.11642160,0.01674982,0.90000000,0.64556190,8.17499900,0.45000020,1,0,0,0,
	0.12967930,0.01674982,0.90000000,0.64556190,8.62500000,0.30000020,1,0,0,0,
	0.13513880,0.01843097,0.89999990,0.75113650,9.07499900,0.15000020,1,0,0,0,
	0.14167830,0.01843097,0.89999990,0.75113650,9.30000000,0.07500021,1,0,0,0,
	0.14636530,0.01843097,0.89999990,0.75113650,9.45000000,0.00000021,1,0,0,0,
	0.15241810,0.01843097,0.89999990,0.75113650,9.67499800,359.92500000,1,0,0,0,
	0.15908460,0.01986262,0.90000000,0.86580820,9.90000200,359.85000000,1,0,0,0,
	0.16584650,0.01986262,0.90000000,0.86580820,10.20000000,359.77500000,1,0,0,0,
	0.17146250,0.01986262,0.90000000,0.86580820,10.42500000,359.70000000,1,0,0,0,
	0.17735390,0.02103263,0.89999990,0.98809840,10.65000000,359.62500000,1,0,0,0,
	0.18417770,0.02103263,0.89999990,0.98809840,10.87500000,359.55000000,1,0,0,0,
	0.18977920,0.02103263,0.89999990,0.98809840,11.10000000,359.47500000,1,0,0,0,
	0.19938180,0.02190777,0.90000000,1.11771500,11.40000000,359.40000000,1,0,0,0,
	0.20622170,0.02190777,0.90000000,1.11771500,11.85000000,359.25000000,1,0,0,0,
	0.21224970,0.02190777,0.90000000,1.11771500,12.15000000,359.17500000,1,0,0,0,
	0.21873150,0.02234466,0.89999990,1.25631700,12.37500000,359.10000000,1,0,0,0,
	0.22470980,0.02234466,0.89999990,1.25631700,12.67500000,359.02500000,1,0,0,0,
	0.23053620,0.02234466,0.89999990,1.25631700,12.90000000,358.95000000,1,0,0,0,
	0.23569210,0.02237739,0.90000000,1.40223100,13.20000000,358.80000000,1,0,0,0,
	0.24209430,0.02237739,0.90000000,1.40223100,13.42500000,358.72500000,1,0,0,0,
	0.24791910,0.02237739,0.90000000,1.40223100,13.72500000,358.65000000,1,0,0,0,
	0.25430770,0.02237739,0.90000000,1.40223100,13.95000000,358.57500000,1,0,0,0,
	0.26305240,0.02183174,0.89999990,1.55626900,14.25000000,358.50000000,1,0,0,0,
	0.27020660,0.02183174,0.89999990,1.55626900,14.70000000,358.35000000,1,0,0,0,
	0.27628690,0.02099649,0.90000000,1.71031900,15.07500000,358.20000000,1,0,0,0,
	0.28330150,0.02099649,0.90000000,1.71031900,15.30000000,358.12500000,1,0,0,0,
	0.28945730,0.02099649,0.90000000,1.71031900,15.75000000,357.97500000,1,0,0,0,
	0.29415650,0.02099649,0.90000000,1.71031900,16.05000000,357.90000000,1,0,0,0,
	0.30064350,0.01967512,0.89999990,1.86438000,16.27501000,357.82500000,1,0,0,0,
	0.30640860,0.01967512,0.89999990,1.86438000,16.57500000,357.67500000,1,0,0,0,
	0.31128400,0.01967512,0.89999990,1.86438000,16.95000000,357.52500000,1,0,0,0,
	0.31919750,0.01795522,0.90000000,2.01845600,17.17500000,357.45000000,1,0,0,0,
	0.32592780,0.01795522,0.90000000,2.01845600,17.62500000,357.30000000,1,0,0,0,
	0.33193780,0.01795522,0.90000000,2.01845600,18.00000000,357.15000000,1,0,0,0,
	0.33824880,0.01569600,0.89999990,2.17254900,18.30000000,357.00000000,1,0,0,0,
	0.34418930,0.01569600,0.89999990,2.17254900,18.60001000,356.85000000,1,0,0,0,
	0.34856250,0.01569600,0.89999990,2.17254900,18.97500000,356.70000000,1,0,0,0,
	0.35354920,0.01569600,0.89999990,2.17254900,19.12500000,356.62500000,1,0,0,0,
	0.36033450,0.01280174,0.90000000,2.32666200,19.42500000,356.47500000,1,0,0,0,
	0.36623050,0.01280174,0.90000000,2.32666200,19.72500000,356.32500000,1,0,0,0,
	0.37292470,0.01280174,0.90000000,2.32666200,20.02501000,356.25000000,1,0,0,0,
	0.37862790,0.00927828,0.89999990,2.48078900,20.40000000,356.02500000,1,0,0,0,
	0.38677010,0.00927828,0.89999990,2.48078900,20.62500000,355.95000000,1,0,0,0,
	0.39389120,0.00927828,0.89999990,2.48078900,21.00000000,355.72500000,1,0,0,0,
	0.40028800,0.00502563,0.90000000,2.63491000,21.30000000,355.65000000,1,0,0,0,
	0.40725550,0.00502563,0.90000000,2.63491000,21.52500000,355.50000000,1,0,0,0,
	0.41205680,0.00502563,0.90000000,2.63491000,21.90000000,355.42500000,1,0,0,0,
	0.41728160,0.00012663,0.89999990,2.78902000,22.05000000,355.35000000,1,0,0,0,
	0.42831870,0.00012663,0.89999990,2.78902000,22.27500000,355.20000000,1,0,0,0,
	0.43448310,0.00012663,0.89999990,2.78902000,22.72500000,355.05000000,1,0,0,0,
	0.43910200,-0.00560691,0.90000000,2.94312100,23.02500000,354.90000000,1,0,0,0,
	0.44512670,-0.00560691,0.90000000,2.94312100,23.17500000,354.90000000,1,0,0,0,
	0.45106170,-0.00560691,0.90000000,2.94312100,23.47500000,354.75000000,1,0,0,0,
	0.45776790,-0.01195410,0.89999990,3.09719700,23.70000000,354.67500000,1,0,0,0,
	0.46386040,-0.01195410,0.89999990,3.09719700,24.00000000,354.52500000,1,0,0,0,
	0.46899090,-0.01195410,0.89999990,3.09719700,24.22500000,354.45000000,1,0,0,0,
	0.47366630,-0.01195410,0.89999990,3.09719700,24.45000000,354.37500000,1,0,0,0,
	0.47914380,-0.01915757,0.90000000,3.25124300,24.67500000,354.30000000,1,0,0,0,
