map
	ez_nostalgia
end

values
	0.00406710,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.00852800,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.01292550,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.01571260,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.01918850,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.02182010,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.02535560,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.02917080,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.03262280,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.03531600,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.03885340,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.04158950,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.04420830,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.04755720,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.05031170,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.05343100,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.05681501,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.06393531,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.07040591,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.07394771,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.07792681,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.08250501,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.08551391,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.08927811,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.09246481,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.09543151,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.10027030,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.10424540,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.10728550,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.11126280,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.11417780,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.11771120,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.12023970,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.12305760,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.12595380,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.12932260,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.13228210,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.13512280,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.13834440,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.14083350,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.14381180,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.14678010,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.14983900,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.15245370,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.15576130,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.15967270,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.16237840,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.16637540,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.16949680,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.17259770,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.17514660,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.17899840,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.18172540,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.18501750,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.18793270,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.19076620,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.19417360,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.19749890,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.20054580,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.20329320,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.20623110,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.20922130,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.21248570,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,0,0,0,0,
	0.21734320,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,1,0,0,0,
	0.22305520,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,1,0,0,0,
	0.22841810,12.00000000,0.90000000,322.00000000,0.00000000,270.00000000,1,0,0,0,
	0.23170460,12.00000000,0.90000000,322.00000000,0.00000000,269.92500000,1,0,0,0,
	0.23540650,11.98891000,0.90000000,322.00000000,0.00000000,269.92500000,1,0,0,0,
	0.23913370,11.98891000,0.90000000,322.00000000,0.00000000,269.92500000,1,0,0,0,
	0.24472080,11.98891000,0.90000000,322.00000000,0.00000000,269.92500000,1,0,0,0,
	0.24889250,11.98891000,0.90000000,322.00000000,0.07500001,269.92500000,1,0,0,0,
	0.25183110,11.98891000,0.90000000,322.00000000,0.07500001,269.92500000,1,0,0,0,
