map
	ez_nostalgia
end

values
	0.00525230,12.11177000,7.90000000,340.58110000,5.02497600,10.87500000,1,0,0,0,
	0.01073810,12.13092000,7.90000000,340.68080000,5.02497600,10.87500000,1,0,0,0,
	0.01611620,12.13092000,7.90000000,340.68080000,5.02497600,10.87500000,1,0,0,0,
	0.02027670,12.13092000,7.90000000,340.68080000,5.02497600,10.87500000,1,0,0,0,
	0.02483880,12.13092000,7.90000000,340.68080000,5.02497600,10.87500000,1,0,0,0,
	0.02953900,12.15154000,7.90000000,340.78810000,5.02497600,10.87500000,1,0,0,0,
	0.03341620,12.15154000,7.90000000,340.78810000,5.02497600,10.87500000,1,0,0,0,
	0.03807990,12.15154000,7.90000000,340.78810000,5.02497600,10.87500000,1,0,0,0,
	0.04239160,12.15154000,7.90000000,340.78810000,5.02497600,10.87500000,1,0,0,0,
	0.05174790,12.17350000,7.90000000,340.90240000,5.02497600,10.87500000,1,0,0,0,
	0.06114270,12.17350000,7.90000000,340.90240000,5.02497600,10.87500000,1,0,0,0,
	0.06707039,12.19687000,7.90000000,341.02400000,5.09997600,10.87500000,1,0,0,0,
	0.07176380,12.19687000,7.90000000,341.02400000,5.09997600,10.80000000,1,0,0,0,
	0.07485810,12.19687000,7.90000000,341.02400000,5.09997600,10.80000000,1,0,0,0,
	0.07889220,12.19687000,7.90000000,341.02400000,5.09997600,10.80000000,1,0,0,0,
	0.08187560,12.19687000,7.90000000,341.02400000,5.09997600,10.80000000,1,0,0,0,
	0.08776180,12.22177000,7.90000000,341.15370000,5.09997600,10.80000000,1,0,0,0,
	0.09269780,12.22177000,7.90000000,341.15370000,5.17497600,10.80000000,1,0,0,0,
	0.09548950,12.22177000,7.90000000,341.15370000,5.17497600,10.80000000,1,0,0,0,
	0.10026030,12.22177000,7.90000000,341.15370000,5.17497600,10.80000000,1,0,0,0,
	0.10528720,12.22177000,7.90000000,341.15370000,5.17497600,10.80000000,1,0,0,0,
	0.10871980,12.24841000,7.90000000,341.29270000,5.24997600,10.80000000,1,0,0,0,
	0.11474250,12.24841000,7.90000000,341.29270000,5.24997600,10.80000000,1,0,0,0,
	0.12004370,12.24841000,7.90000000,341.29270000,5.32497600,10.80000000,1,0,0,0,
	0.12412920,12.24841000,7.90000000,341.29270000,5.39997500,10.79999000,1,0,0,0,
	0.12923700,12.27645000,7.90000000,341.43910000,5.47497500,10.80000000,1,0,0,0,
	0.13470480,12.27645000,7.90000000,341.43910000,5.54997500,10.80000000,1,0,0,0,
	0.13906450,12.27645000,7.90000000,341.43910000,5.69997600,10.80000000,1,0,0,0,
	0.14415510,12.27645000,7.90000000,341.43910000,5.77497500,10.80000000,1,0,0,0,
	0.14961900,12.30542000,7.90000000,341.59040000,5.92497500,10.80000000,1,0,0,0,
	0.15540280,12.30542000,7.90000000,341.59040000,6.07497500,10.87500000,1,0,0,0,
	0.16034850,12.30542000,7.90000000,341.59040000,6.22497500,10.87500000,1,0,0,0,
	0.16624920,12.30542000,7.90000000,341.59040000,6.37497600,10.95000000,1,0,0,0,
	0.17184580,12.33440000,7.90000000,341.74160000,6.52497600,11.02499000,1,0,0,0,
	0.17798550,12.33440000,7.90000000,341.74160000,6.74997600,11.10000000,1,0,0,0,
	0.18352350,12.33440000,7.90000000,341.74160000,6.97497500,11.17499000,1,0,0,0,
	0.18825520,12.36345000,7.90000000,341.89290000,7.12497600,11.24999000,1,0,0,0,
	0.19534300,12.36345000,7.90000000,341.89290000,7.27497600,11.32499000,1,0,0,0,
	0.20060090,12.36345000,7.90000000,341.89290000,7.49997600,11.47499000,1,0,0,0,
	0.20701610,12.39263000,7.90000000,342.04410000,7.64997500,11.54999000,1,0,0,0,
	0.21274770,12.39263000,7.90000000,342.04410000,7.94997600,11.69999000,1,0,0,0,
	0.21952200,12.39263000,7.90000000,342.04410000,8.09997600,11.77499000,1,0,0,0,
	0.22571850,12.39263000,7.90000000,342.04410000,8.39997600,11.92499000,1,0,0,0,
	0.23260990,12.42207000,7.90000000,342.19530000,8.62497600,11.99999000,1,0,0,0,
	0.23841230,12.42207000,7.90000000,342.19530000,8.77497600,12.14999000,1,0,0,0,
	0.24256630,12.42207000,7.90000000,342.19530000,8.99997600,12.22499000,1,0,0,0,
	0.24774230,12.45175000,7.90000000,342.34640000,9.14997700,12.29999000,1,0,0,0,
	0.25491370,12.45175000,7.90000000,342.34640000,9.37497600,12.37499000,1,0,0,0,
	0.26031190,12.45175000,7.90000000,342.34640000,9.59997700,12.44999000,1,0,0,0,
	0.26504740,12.45175000,7.90000000,342.34640000,9.74997700,12.52499000,1,0,0,0,
	0.27197850,12.48179000,7.90000000,342.49750000,9.89997600,12.59999000,1,0,0,0,
	0.27706000,12.48179000,7.90000000,342.49750000,10.12498000,12.67499000,1,0,0,0,
	0.28202640,12.48179000,7.90000000,342.49750000,10.27498000,12.74999000,1,0,0,0,
	0.28777730,12.51212000,7.90000000,342.64850000,10.42498000,12.74999000,1,0,0,0,
	0.29266840,12.51212000,7.90000000,342.64850000,10.64998000,12.82499000,1,0,0,0,
	0.29751000,12.51212000,7.90000000,342.64850000,10.79998000,12.82499000,1,0,0,0,
	0.30476150,12.51212000,7.90000000,342.64850000,10.94998000,12.89999000,1,0,0,0,
	0.31106280,12.54285000,7.90000000,342.79950000,11.17498000,12.89999000,1,0,0,0,
	0.31704940,12.54285000,7.90000000,342.79950000,11.39998000,12.97499000,1,0,0,0,
	0.32249600,12.54285000,7.90000000,342.79950000,11.54998000,12.97499000,1,0,0,0,
	0.32694070,12.57388000,7.90000000,342.95030000,11.77498000,12.97499000,1,0,0,0,
	0.33629320,12.57388000,7.90000000,342.95030000,11.92498000,12.97499000,1,0,0,0,
	0.34049440,12.57388000,7.90000000,342.95030000,12.22498000,13.04999000,1,0,0,0,
	0.34719260,12.60521000,7.90000000,343.10120000,12.29998000,13.04999000,1,0,0,0,
	0.35220310,12.60521000,7.90000000,343.10120000,12.52498000,13.04999000,1,0,0,0,
	0.35779900,12.60521000,7.90000000,343.10120000,12.67498000,13.04999000,1,0,0,0,
	0.36587780,12.60521000,7.90000000,343.10120000,12.89998000,13.04999000,1,0,0,0,
	0.37157860,12.63692000,7.90000000,343.25190000,13.12498000,13.04999000,1,0,0,0,
	0.37829600,12.63692000,7.90000000,343.25190000,13.34998000,13.04999000,1,0,0,0,
	0.38334160,12.63692000,7.90000000,343.25190000,13.49998000,13.04999000,1,0,0,0,
	0.38779460,12.66886000,7.90000000,343.40260000,13.72498000,13.04999000,1,0,0,0,
	0.39388630,12.66886000,7.90000000,343.40260000,13.87498000,13.04999000,1,0,0,0,
