map
	ez_nostalgia
end

values
	0.00993130,225.60600000,25.90000000,36.29573000,22.16000000,86.88013000,0,0,0,0,
	0.02531980,225.60600000,25.90000000,36.29573000,22.64000000,86.96014000,0,0,0,0,
	0.03438610,225.60600000,25.90000000,36.29573000,23.27999000,86.96014000,0,0,0,0,
	0.04061200,225.60600000,25.90000000,36.29573000,23.67999000,86.96014000,0,0,0,0,
	0.04864670,225.60600000,25.90000000,36.29573000,23.92000000,86.96014000,0,0,0,0,
	0.05738330,225.60600000,25.90000000,36.29573000,24.08000000,86.96014000,0,0,0,0,
	0.06312360,225.60600000,25.90000000,36.29573000,24.31999000,87.04014000,0,0,0,0,
	0.07114150,225.60600000,25.90000000,36.29573000,24.47999000,87.12014000,0,0,0,0,
	0.07882909,225.60600000,25.90000000,36.29573000,24.72000000,87.20014000,0,0,0,0,
	0.08749519,225.60600000,25.90000000,36.29573000,24.96000000,87.36015000,0,0,0,0,
	0.09386349,225.60600000,25.90000000,36.29573000,25.19999000,87.52015000,0,0,0,0,
	0.10339180,225.60600000,25.90000000,36.29573000,25.43999000,87.68015000,0,0,0,0,
	0.11429510,225.60600000,25.90000000,36.29573000,25.83999000,87.92015000,0,0,0,0,
	0.12425700,225.60600000,25.90000000,36.29573000,26.39999000,88.24015000,0,0,0,0,
	0.13307480,225.60600000,25.90000000,36.29573000,26.87999000,88.56014000,0,0,0,0,
	0.14111300,225.60600000,25.90000000,36.29573000,27.35999000,88.72015000,0,0,0,0,
	0.14795010,225.60600000,25.90000000,36.29573000,27.75999000,88.88016000,0,0,0,0,
	0.15744670,225.60600000,25.90000000,36.29573000,28.07999000,89.04015000,0,0,0,0,
	0.17200490,225.60600000,25.90000000,36.29573000,28.63999000,89.20016000,0,0,0,0,
	0.17996330,225.60600000,25.90000000,36.29573000,29.12000000,89.36017000,0,0,0,0,
	0.18743170,225.60600000,25.90000000,36.29573000,29.51999000,89.44018000,0,0,0,0,
	0.19388570,225.60600000,25.90000000,36.29573000,29.67999000,89.52017000,0,0,0,0,
	0.20123620,225.60600000,25.90000000,36.29573000,29.75998000,89.52017000,0,0,0,0,
	0.20805850,225.60600000,25.90000000,36.29573000,29.83999000,89.60017000,0,0,0,0,
	0.21685690,225.60600000,25.90000000,36.29573000,29.99999000,89.60017000,0,0,0,0,
	0.22197970,225.60600000,25.90000000,36.29573000,30.15999000,89.68017000,0,0,0,0,
	0.23194870,225.60600000,25.90000000,36.29573000,30.23999000,89.76018000,0,0,0,0,
	0.23983750,225.60600000,25.90000000,36.29573000,30.39999000,89.84018000,0,0,0,0,
	0.24830370,225.60600000,25.90000000,36.29573000,30.55999000,89.92018000,0,0,0,0,
	0.25743550,225.60600000,25.90000000,36.29573000,30.63999000,90.00018000,0,0,0,0,
	0.26298070,225.60600000,25.90000000,36.29573000,30.72000000,90.08018000,0,0,0,0,
	0.26792920,225.60600000,25.90000000,36.29573000,30.79999000,90.08018000,0,0,0,0,
	0.27495860,225.60600000,25.90000000,36.29573000,30.79999000,90.08018000,0,0,0,0,
	0.27958110,225.60600000,25.90000000,36.29573000,30.79999000,90.08018000,0,0,0,0,
	0.28560850,225.60600000,25.90000000,36.29573000,30.79999000,90.08018000,0,0,0,0,
	0.29174990,225.60600000,25.90000000,36.29573000,30.79999000,90.08018000,0,0,0,0,
	0.29575760,225.60600000,25.90000000,36.29573000,30.79999000,90.08018000,0,0,0,0,
	0.30221430,225.60600000,25.90000000,36.29573000,30.79999000,90.08018000,0,0,0,0,
	0.30840090,225.60600000,25.90000000,36.29573000,30.87999000,90.08018000,0,0,0,0,
	0.31515460,225.60600000,25.90000000,36.29573000,30.87999000,90.16019000,0,0,0,0,
	0.32180790,225.60600000,25.90000000,36.29573000,30.95999000,90.16019000,0,0,0,0,
	0.32671710,225.60600000,25.90000000,36.29573000,31.03999000,90.24018000,0,0,0,0,
	0.33519320,225.60600000,25.90000000,36.29573000,31.11999000,90.24020000,0,0,0,0,
	0.34386220,225.60600000,25.90000000,36.29573000,31.35999000,90.40018000,1,0,0,0,
	0.35513020,225.61550000,25.90000000,36.29565000,31.51999000,90.48019000,1,0,0,0,
	0.36451160,225.61550000,25.90000000,36.29565000,31.75999000,90.56020000,1,0,0,0,
	0.37088310,225.63330000,25.90000000,36.29547000,31.91999000,90.64019000,1,0,0,0,
	0.37637410,225.63330000,25.90000000,36.29547000,31.99998000,90.72019000,1,0,0,0,
	0.38164200,225.63330000,25.90000000,36.29547000,32.07999000,90.72020000,1,0,0,0,
	0.38786880,225.65800000,25.90000000,36.29518000,32.15999000,90.72020000,1,0,0,0,
	0.39539840,225.65800000,25.90000000,36.29518000,32.23999000,90.80020000,1,0,0,0,
	0.40120780,225.65800000,25.90000000,36.29518000,32.31999000,90.80019000,1,0,0,0,
	0.40903160,225.69040000,25.90000000,36.29475000,32.39999000,90.80019000,1,0,0,0,
	0.41575010,225.69040000,25.90000000,36.29475000,32.48000000,90.80019000,1,0,0,0,
	0.42370710,225.69040000,25.90000000,36.29475000,32.56001000,90.88020000,1,0,0,0,
	0.42991710,225.73190000,25.90000000,36.29417000,32.56001000,90.88020000,1,0,0,0,
	0.43552910,225.73190000,25.90000000,36.29417000,32.64000000,90.88020000,1,0,0,0,
	0.44052370,225.73190000,25.90000000,36.29417000,32.64000000,90.88020000,1,0,0,0,
	0.44808670,225.78010000,25.90000000,36.29348000,32.72001000,90.88020000,1,0,0,0,
	0.45547950,225.78010000,25.90000000,36.29348000,32.88000000,90.88020000,1,0,0,0,
	0.46126130,225.78010000,25.90000000,36.29348000,32.96000000,90.96021000,1,0,0,0,
	0.46889870,225.83660000,25.90000000,36.29261000,33.12001000,91.04021000,1,0,0,0,
	0.47580500,225.83660000,25.90000000,36.29261000,33.28001000,91.12021000,1,0,0,0,
	0.48270270,225.83660000,25.90000000,36.29261000,33.44000000,91.20022000,1,0,0,0,
	0.48874370,225.90170000,25.90000000,36.29148000,33.60000000,91.36022000,1,0,0,0,
	0.49494880,225.90170000,25.90000000,36.29148000,33.76000000,91.44022000,1,0,0,0,
	0.50353800,225.90170000,25.90000000,36.29148000,33.92001000,91.44022000,1,0,0,0,
	0.51120140,225.97510000,25.90000000,36.29003000,34.08000000,91.52023000,1,0,0,0,
	0.52162730,225.97510000,25.90000000,36.29003000,34.24001000,91.60023000,1,0,0,0,
	0.52918610,226.05570000,25.90000000,36.28826000,34.40001000,91.68022000,1,0,0,0,
	0.53507020,226.05570000,25.90000000,36.28826000,34.40001000,91.68022000,1,0,0,0,
	0.54180790,226.05570000,25.90000000,36.28826000,34.48000000,91.68022000,1,0,0,0,
