map
	ez_square2
end

values
	0.00703820,2.90542500,1.90000000,-4.59700900,13.04000000,17.27999000,1,0,0,0,
	0.01320260,2.90542500,1.90000000,-4.59700900,13.12000000,17.27999000,1,0,0,0,
	0.01849400,2.91151000,1.90000000,-4.57744900,13.28000000,17.27999000,1,0,0,0,
	0.02366350,2.91151000,1.90000000,-4.57744900,13.36000000,17.27999000,1,0,0,0,
	0.02771760,2.91151000,1.90000000,-4.57744900,13.44000000,17.27999000,1,0,0,0,
	0.03315390,2.91151000,1.90000000,-4.57744900,13.44000000,17.27999000,1,0,0,0,
	0.03811390,2.91996600,1.90000000,-4.55026800,13.51999000,17.27999000,1,0,0,0,
	0.04320410,2.91996600,1.90000000,-4.55026800,13.60000000,17.27999000,1,0,0,0,
	0.04928190,2.91996600,1.90000000,-4.55026800,13.75999000,17.27999000,1,0,0,0,
	0.05472430,2.91996600,1.90000000,-4.55026800,13.92000000,17.27999000,1,0,0,0,
	0.06012660,2.93098400,1.90000000,-4.51484900,14.08000000,17.27999000,1,0,0,0,
	0.06638560,2.93098400,1.90000000,-4.51484900,14.15999000,17.27999000,1,0,0,0,
	0.07066330,2.93098400,1.90000000,-4.51484900,14.31999000,17.27999000,1,0,0,0,
	0.07718710,2.94389600,1.90000000,-4.47334100,14.39999000,17.27999000,1,0,0,0,
	0.08288050,2.94389600,1.90000000,-4.47334100,14.55999000,17.27999000,1,0,0,0,
	0.08836470,2.94389600,1.90000000,-4.47334100,14.63999000,17.27999000,1,0,0,0,
	0.09274200,2.94389600,1.90000000,-4.47334100,14.80000000,17.35999000,1,0,0,0,
	0.09855080,2.95944600,1.90000000,-4.42340600,14.87999000,17.35999000,1,0,0,0,
	0.10464170,2.95944600,1.90000000,-4.42340600,15.04000000,17.35999000,1,0,0,0,
	0.11038460,2.95944600,1.90000000,-4.42340600,15.12000000,17.35999000,1,0,0,0,
	0.11655210,2.97712100,1.90000000,-4.36674000,15.28000000,17.43999000,1,0,0,0,
	0.12229780,2.97712100,1.90000000,-4.36674000,15.43999000,17.43999000,1,0,0,0,
	0.12654560,2.97712100,1.90000000,-4.36674000,15.51999000,17.51999000,1,0,0,0,
	0.13257540,2.97712100,1.90000000,-4.36674000,15.67999000,17.51999000,1,0,0,0,
	0.13867160,2.99751300,1.90000000,-4.30162500,15.83999000,17.59999000,1,0,0,0,
	0.14632610,2.99751300,1.90000000,-4.30162500,16.00000000,17.67999000,1,0,0,0,
	0.15153310,2.99751300,1.90000000,-4.30162500,16.15999000,17.75999000,1,0,0,0,
	0.15742620,3.02028500,1.90000000,-4.22930900,16.23999000,17.75999000,1,0,0,0,
	0.16242770,3.02028500,1.90000000,-4.22930900,16.39999000,17.83999000,1,0,0,0,
	0.16760220,3.02028500,1.90000000,-4.22930900,16.47999000,17.91999000,1,0,0,0,
	0.17438860,3.02028500,1.90000000,-4.22930900,16.63999000,17.91999000,1,0,0,0,
	0.18083480,3.04597700,1.90000000,-4.14832800,16.79999000,17.99999000,1,0,0,0,
	0.18655140,3.04597700,1.90000000,-4.14832800,16.95999000,18.07999000,1,0,0,0,
	0.19127180,3.04597700,1.90000000,-4.14832800,17.03999000,18.07999000,1,0,0,0,
	0.19815770,3.07385900,1.90000000,-4.06095700,17.11999000,18.15999000,1,0,0,0,
	0.20317150,3.07385900,1.90000000,-4.06095700,17.27999000,18.23999000,1,0,0,0,
	0.20880660,3.07385900,1.90000000,-4.06095700,17.35999000,18.23999000,1,0,0,0,
	0.21485900,3.07385900,1.90000000,-4.06095700,17.43999000,18.31999000,1,0,0,0,
	0.22072500,3.10484500,1.90000000,-3.96467500,17.59999000,18.31999000,1,0,0,0,
	0.22613860,3.10484500,1.90000000,-3.96467500,17.67999000,18.39999000,1,0,0,0,
	0.23385050,3.10484500,1.90000000,-3.96467500,17.75999000,18.39999000,1,0,0,0,
	0.23832720,3.13835500,1.90000000,-3.86122700,17.83999000,18.47999000,1,0,0,0,
	0.24453580,3.13835500,1.90000000,-3.86122700,17.91999000,18.47999000,1,0,0,0,
	0.25010380,3.13835500,1.90000000,-3.86122700,17.99999000,18.55999000,1,0,0,0,
	0.25612720,3.17403800,1.90000000,-3.75164900,18.07999000,18.55999000,1,0,0,0,
	0.26358230,3.17403800,1.90000000,-3.75164900,18.23999000,18.55999000,1,0,0,0,
	0.26805590,3.17403800,1.90000000,-3.75164900,18.31999000,18.63999000,1,0,0,0,
	0.27298040,3.17403800,1.90000000,-3.75164900,18.31999000,18.63999000,1,0,0,0,
	0.28022490,3.21278500,1.90000000,-3.63344700,18.47999000,18.63999000,1,0,0,0,
	0.28675610,3.21278500,1.90000000,-3.63344700,18.55999000,18.71999000,1,0,0,0,
	0.29270910,3.21278500,1.90000000,-3.63344700,18.63999000,18.71999000,1,0,0,0,
	0.29931670,3.25418900,1.90000000,-3.50781200,18.71999000,18.71999000,1,0,0,0,
	0.30694410,3.25418900,1.90000000,-3.50781200,18.79999000,18.79999000,1,0,0,0,
	0.31342190,3.25418900,1.90000000,-3.50781200,18.95999000,18.79999000,1,0,0,0,
	0.31938570,3.29838900,1.90000000,-3.37437700,19.03999000,18.79999000,1,0,0,0,
	0.33015830,3.29838900,1.90000000,-3.37437700,19.19999000,18.79999000,1,0,0,0,
	0.33519730,3.29838900,1.90000000,-3.37437700,19.27999000,18.79999000,1,0,0,0,
	0.34140740,3.34551000,1.90000000,-3.23273400,19.43999000,18.79999000,1,0,0,0,
	0.34769110,3.34551000,1.90000000,-3.23273400,19.51999000,18.79999000,1,0,0,0,
	0.35355110,3.34551000,1.90000000,-3.23273400,19.67999000,18.71999000,1,0,0,0,
	0.36013790,3.39422100,1.90000000,-3.08663900,19.75999000,18.71999000,1,0,0,0,
	0.36707310,3.39422100,1.90000000,-3.08663900,19.91999000,18.63999000,1,0,0,0,
	0.37307170,3.39422100,1.90000000,-3.08663900,20.07999000,18.63999000,1,0,0,0,
	0.37832610,3.44297000,1.90000000,-2.94055800,20.23999000,18.55999000,1,0,0,0,
	0.38566980,3.44297000,1.90000000,-2.94055800,20.31999000,18.55999000,1,0,0,0,
	0.39279560,3.44297000,1.90000000,-2.94055800,20.47999000,18.47999000,1,0,0,0,
	0.39966080,3.49172200,1.90000000,-2.79447900,20.63999000,18.39999000,1,0,0,0,
	0.40513840,3.49172200,1.90000000,-2.79447900,20.87999000,18.31999000,1,0,0,0,
	0.41076350,3.49172200,1.90000000,-2.79447900,20.95999000,18.31999000,1,0,0,0,
	0.41697400,3.54044200,1.90000000,-2.64838700,21.19999000,18.23999000,1,0,0,0,
	0.42435630,3.54044200,1.90000000,-2.64838700,21.27999000,18.15999000,1,0,0,0,
