map
	ez_square
end

values
	0.00373600,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.00844860,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.01209060,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.01539050,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.01898260,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.02273330,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.02613000,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.02942980,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.03269630,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.03598000,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.04015320,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.04342270,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.04692660,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.05032990,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.05377290,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.05700670,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.06088900,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.06416250,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.06723110,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.07046711,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.07514831,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.07863051,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.08562781,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.09168161,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.09466860,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.09785651,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.10106660,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.10437660,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.10753970,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.11082130,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.11349960,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.11646840,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.11985090,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.12253960,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.12563490,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.12844170,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.13143990,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.13444550,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.13756880,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.14092770,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.14392670,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.14744270,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.15034550,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.15344340,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.15625370,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.15968580,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.16247210,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.16550100,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.16833950,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.17126450,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.17417900,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.17694120,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.18042430,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.18365850,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.18704310,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.19017360,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.19437200,56.06962000,1.90000000,0.00000000,3.90000100,354.90000000,0,0,0,0,
	0.19866360,56.06962000,1.90000000,0.00000000,3.97500200,354.90000000,0,0,0,0,
	0.20399820,56.06962000,1.90000000,0.00000000,4.05000200,354.90000000,0,0,0,0,
	0.21032340,56.06962000,1.90000000,0.00000000,4.12500100,354.90000000,0,0,0,0,
	0.21611930,56.06962000,1.90000000,0.00000000,4.20000100,354.90000000,0,0,0,0,
	0.22119380,56.06962000,1.90000000,0.00000000,4.42500100,354.82500000,0,0,0,0,
	0.22623040,56.06962000,1.90000000,0.00000000,4.57500100,354.75000000,1,0,0,0,
	0.23272760,56.06962000,1.90000000,0.00000000,4.65000100,354.75000000,1,0,0,0,
	0.23721030,56.06886000,1.90000000,0.00810413,4.87500200,354.67500000,1,0,0,0,
	0.24244860,56.06886000,1.90000000,0.00810413,5.02500100,354.60000000,1,0,0,0,
	0.24667410,56.06886000,1.90000000,0.00810413,5.25000100,354.52500000,1,0,0,0,
	0.25101560,56.06886000,1.90000000,0.00810413,5.40000200,354.45000000,1,0,0,0,
	0.25526930,56.06886000,1.90000000,0.00810413,5.55000100,354.37500000,1,0,0,0,
	0.26025750,56.06720000,1.90000000,0.02517912,5.77500200,354.30000000,1,0,0,0,
	0.26494680,56.06720000,1.90000000,0.02517912,6.00000100,354.22500000,1,0,0,0,
	0.26877870,56.06720000,1.90000000,0.02517912,6.22500100,354.07500000,1,0,0,0,
