map
	ez_training
end

values
	0.00591700,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.01227980,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.01670730,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.02030290,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.02328320,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.02812510,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.03199910,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.03621310,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.04035860,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.04337200,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.04688870,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.05017300,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.05370040,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.05676320,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.06025380,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.06316850,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.06649150,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.06995890,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.07343721,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.07666681,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.08062181,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.08697821,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.09361591,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.09700711,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.09975321,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.10314270,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.10616700,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.10967540,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.11249040,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.11570100,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.11846560,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.12130690,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.12426980,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.12692690,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.13037210,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.13302150,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.13605820,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.13890320,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.14141360,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.14510110,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.14841660,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.15157790,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.15450210,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.15852920,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.16148250,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.16518180,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.16912290,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.17284400,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.17623290,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.18018430,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.18408540,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,0,0,0,0,
	0.18960240,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,1,0,0,0,
	0.19566750,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,1,0,0,0,
	0.19932550,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,1,0,0,0,
	0.20250940,8.10928800,0.90000000,13.12306000,20.85000000,182.05030000,1,0,0,0,
	0.20644090,8.10888700,0.90000000,13.11183000,20.85000000,182.05030000,1,0,0,0,
	0.21025370,8.10888700,0.90000000,13.11183000,20.85000000,182.05030000,1,0,0,0,
	0.21349340,8.10888700,0.90000000,13.11183000,20.85000000,182.05030000,1,0,0,0,
	0.21644040,8.10888700,0.90000000,13.11183000,20.85000000,182.05030000,1,0,0,0,
	0.21987030,8.10888700,0.90000000,13.11183000,20.85000000,182.05030000,1,0,0,0,
	0.22266370,8.10888700,0.90000000,13.11183000,20.85000000,182.05030000,1,0,0,0,
	0.22572360,8.10819600,0.90000000,13.09255000,20.85000000,182.05030000,1,0,0,0,
	0.22969980,8.10819600,0.90000000,13.09255000,20.85000000,182.05030000,1,0,0,0,
	0.23312320,8.10819600,0.90000000,13.09255000,20.85000000,182.05030000,1,0,0,0,
	0.23643890,8.10819600,0.90000000,13.09255000,20.85000000,182.05030000,1,0,0,0,
	0.24169630,8.10819600,0.90000000,13.09255000,20.85000000,182.05030000,1,0,0,0,
	0.24508580,8.10723900,0.90000000,13.06566000,20.85000000,182.00030000,1,0,0,0,
	0.24906800,8.10723900,0.90000000,13.06566000,20.85000000,182.00030000,1,0,0,0,
	0.25183250,8.10723900,0.90000000,13.06566000,20.85000000,182.00030000,1,0,0,0,
	0.25647000,8.10723900,0.90000000,13.06566000,20.85000000,182.00030000,1,0,0,0,
	0.25957530,8.10723900,0.90000000,13.06566000,20.85000000,181.95030000,1,0,0,0,
	0.26426860,8.10723900,0.90000000,13.06566000,20.85000000,181.95030000,1,0,0,0,
